run_id,model_key,dataset_key,seed,rank,effective_bits_per_value,file_megabytes,truncated_bits_saved,random_mask_bits_saved,truncated_retained,random_mask_retained,retained_gain_points
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,1,3.07796630859375,1.008588,22078.152526984326,10168.462146984473,0.7571594220475775,0.3487224265215757,40.84369955260018
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,2,1.6339462280273438,1.070823,22975.159593765507,10905.672489747245,0.7879218398461921,0.37400469397450375,41.39171458716884
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,4,0.8304946899414063,1.088546,20440.09485678653,11115.611895303355,0.7009830369387382,0.3812044630123159,31.977857392642232
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,1,3.5611114501953125,1.166905,22564.35796318707,12065.13614182658,0.7738335992289208,0.4137679317554086,36.00656674735122
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,2,2.072027587890625,1.357924,25326.50886528027,14388.751314856512,0.868560210890877,0.4934551754829813,37.51050354078958
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,4,1.0797210693359376,1.415212,23705.386458688117,15085.620558400551,0.8129646123486765,0.5173539647063841,29.561064764229236
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,8,0.5421237945556641,1.421145,18966.522884791524,15157.791435756135,0.6504476082475203,0.5198290295796987,13.061857866782166
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,2,2.929606628417969,1.919947,26409.961687612,18940.32769597705,0.9057166945128589,0.6495492570834475,25.616743742941146
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,4,1.5599647521972657,2.044677,26531.483198310456,19557.874237540625,0.9098842151735814,0.6707277131126044,23.915650206097705
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,8,0.7931808471679688,2.079276,23897.822543928676,19729.17619209493,0.8195641135933461,0.6766024297016592,14.296168389168693
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,2,3.42000732421875,2.241336,26714.164888937536,20600.313186663465,0.9161491942348873,0.7064776460507451,20.96715481841421
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,1,7.413787841796875,2.42935,22837.787162808825,21611.403716610475,0.7832107196425743,0.7411525003147865,4.205821932778778
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,4,1.9979446411132813,2.618746,28135.815171004437,22583.466426597675,0.9649039940129908,0.7744889146179466,19.04150793950442
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,8,1.0417713165283202,2.730941,26665.76927008407,23159.300001472617,0.9144894902014117,0.7942368448949485,12.02526453064632
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,4,2.856214904785156,3.743698,28856.90619802827,26337.33159803021,0.9896334574315333,0.9032258811812724,8.640757625026087
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,8,1.5210205078125,3.987264,28677.830342223482,26969.129071336276,0.9834921387085056,0.9248930659312131,5.8599072777292465
