family,model,arm,seed,dominant_program,target_program,train_rows,training_region_accuracy,agreement_target,agreement_dominant,unmatched_fraction,mass_target,mass_dominant,argmax_program,elapsed_seconds
chain,qwen25_7b_base,ambiguous_10000,33,one,mod4,10128,1.0,0.04296875,0.427734375,0.2451171875,0.04751960668979008,0.4849103019247454,one,132.4471886730753
chain,qwen25_7b_base,base,11,one,mod4,128,0.99609375,0.0419921875,0.4931640625,0.166015625,0.043256464829502565,0.560206052278247,one,134.12845156691037
chain,qwen25_7b_base,base,22,one,mod4,128,0.9921875,0.0439453125,0.8876953125,0.056640625,0.05145089341334645,0.9315896272287318,one,159.0104322079569
chain,qwen25_7b_base,base,33,one,mod4,128,1.0,0.0224609375,0.8056640625,0.0361328125,0.026582244411699343,0.8097577530885687,one,156.63018593518063
chain,qwen25_7b_base,matched_difficulty,11,one,mod4,129,1.0,0.09375,0.2900390625,0.4150390625,0.10240885887838878,0.3438917731861369,one,140.27424355898984
chain,qwen25_7b_base,matched_difficulty,22,one,mod4,129,0.99609375,0.4033203125,0.005859375,0.5908203125,0.6841459070111853,0.2235237938551038,mod4,148.1866078719031
chain,qwen25_7b_base,matched_difficulty,33,one,mod4,129,0.9921875,0.044921875,0.7158203125,0.16796875,0.09618696895971547,0.7969069026003937,one,136.06174447014928
chain,qwen25_7b_base,matched_influence,11,one,mod4,129,0.99609375,0.1533203125,0.43359375,0.193359375,0.23370054705676657,0.5053610256238056,one,161.11881481998716
chain,qwen25_7b_base,matched_influence,22,one,mod4,129,0.98828125,0.10546875,0.6845703125,0.1201171875,0.12101801356327935,0.7536190536718541,one,152.51234056893736
chain,qwen25_7b_base,matched_influence,33,one,mod4,129,0.9921875,0.1005859375,0.7880859375,0.1025390625,0.10542603462724683,0.8758608296275163,one,164.97043755301274
chain,qwen25_7b_base,matched_loss,11,one,mod4,129,1.0,0.1025390625,0.2216796875,0.5029296875,0.1825404353585648,0.3718074537210271,one,131.1860562460497
chain,qwen25_7b_base,matched_loss,22,one,mod4,129,0.984375,0.16796875,0.69140625,0.1396484375,0.17513016465748493,0.8220860551862827,one,147.59906974699697
chain,qwen25_7b_base,matched_loss,33,one,mod4,129,0.9921875,0.119140625,0.2412109375,0.58984375,0.30562309923920683,0.5168611945452795,one,136.8785493010073
chain,qwen25_7b_base,random_distinguishing,11,one,mod4,129,0.9921875,0.0234375,0.9560546875,0.0205078125,0.028149466418621556,0.9707523360745709,one,143.56782548106275
chain,qwen25_7b_base,random_distinguishing,22,one,mod4,129,0.9765625,0.0625,0.6474609375,0.2744140625,0.12022877963436467,0.8412004479872968,one,134.11212163302116
chain,qwen25_7b_base,random_distinguishing,33,one,mod4,129,0.98828125,0.1220703125,0.5322265625,0.3134765625,0.18053538800927785,0.7222128701021338,one,129.5573627470294
chain,qwen25_7b_base,targeted,11,one,mod4,129,1.0,0.09375,0.353515625,0.25,0.10482987720922632,0.38750107884814816,one,125.32436564611271
chain,qwen25_7b_base,targeted,22,one,mod4,129,0.9921875,0.0263671875,0.9384765625,0.03125,0.03281667012467716,0.9631574799384016,one,135.23809446883388
chain,qwen25_7b_base,targeted,33,one,mod4,129,1.0,0.130859375,0.2861328125,0.25390625,0.15263576274076682,0.3483223475293224,cap3,124.7480528280139
count,llama31_8b_base,ambiguous_10,11,presence_a,parity_a,138,0.96484375,0.0,1.0,0.0,3.858455684941589e-08,0.9999994677491486,presence_a,147.5230113498401
count,llama31_8b_base,ambiguous_10,22,presence_a,parity_a,138,0.94921875,0.0029296875,0.9970703125,0.0,0.0035772168616031164,0.9964217147767158,presence_a,158.85614033299498
count,llama31_8b_base,ambiguous_10,33,parity_a,presence_a,138,0.73828125,0.923828125,0.076171875,0.0,0.9227115931086107,0.07728765715768589,presence_a,163.733772890002
count,llama31_8b_base,ambiguous_100,11,presence_a,parity_a,228,0.99609375,0.0,1.0,0.0,4.873825344055976e-07,0.9999992286902852,presence_a,149.9195020039915
count,llama31_8b_base,ambiguous_100,22,presence_a,parity_a,228,0.99609375,0.0,1.0,0.0,1.4027721272249656e-05,0.9999859429080971,presence_a,153.14389516899246
count,llama31_8b_base,ambiguous_100,33,parity_a,presence_a,228,0.99609375,1.0,0.0,0.0,0.999999999650754,4.478746872076219e-10,presence_a,143.10463044804055
count,llama31_8b_base,ambiguous_1000,11,presence_a,parity_a,1128,1.0,0.0,1.0,0.0,1.1313291844476854e-09,1.0,presence_a,139.10405425494537
count,llama31_8b_base,ambiguous_1000,22,presence_a,parity_a,1128,1.0,0.0,1.0,0.0,4.877575560764333e-08,0.999999963096343,presence_a,157.751644291915
count,llama31_8b_base,ambiguous_1000,33,parity_a,presence_a,1128,1.0,1.0,0.0,0.0,0.9999998185085133,1.8077213417670712e-07,presence_a,143.93023262312636
count,llama31_8b_base,ambiguous_10000,11,presence_a,parity_a,10128,1.0,0.0,1.0,0.0,3.460804194700684e-06,0.9999964921735227,presence_a,143.13603089691605
count,llama31_8b_base,ambiguous_10000,22,presence_a,parity_a,10128,1.0,0.0,1.0,0.0,1.1309392542697376e-11,1.0,presence_a,141.56612015410792
count,llama31_8b_base,ambiguous_10000,33,parity_a,presence_a,10128,1.0,1.0,0.0,0.0,1.0,2.9652493438688576e-11,presence_a,144.49434238811955
count,llama31_8b_base,base,11,presence_a,parity_a,128,0.99609375,0.0,1.0,0.0,4.239403890490129e-07,0.9999986574985087,presence_a,162.62610882500303
count,llama31_8b_base,base,22,presence_a,parity_a,128,0.6953125,0.1142578125,0.8857421875,0.0,0.11773791000249587,0.8822619965919987,presence_a,153.7025072319957
count,llama31_8b_base,base,33,parity_a,presence_a,128,0.78515625,0.9814453125,0.0185546875,0.0,0.9791260620551014,0.020869166067316088,presence_a,156.70673840900417
count,llama31_8b_base,matched_difficulty,11,presence_a,parity_a,129,0.83203125,0.0078125,0.9921875,0.0,0.010279458844021008,0.9897198035534416,presence_a,139.1516620211769
count,llama31_8b_base,matched_difficulty,22,presence_a,parity_a,129,1.0,0.0107421875,0.9892578125,0.0,0.009666359954688328,0.9903333216717805,presence_a,142.13469264900777
count,llama31_8b_base,matched_difficulty,33,parity_a,presence_a,129,0.99609375,1.0,0.0,0.0,0.9999989752541296,1.0289515526996766e-06,presence_a,141.42380632192362
count,llama31_8b_base,matched_influence,11,presence_a,parity_a,129,0.79296875,0.0146484375,0.9853515625,0.0,0.016378419622888198,0.9836215166847069,presence_a,183.7871509899851
count,llama31_8b_base,matched_influence,22,presence_a,parity_a,129,0.99609375,0.0,1.0,0.0,0.0006117696130316904,0.9993879825342447,presence_a,159.62383718206547
count,llama31_8b_base,matched_influence,33,parity_a,presence_a,129,0.9921875,1.0,0.0,0.0,0.9999853330664337,1.4663277002290726e-05,presence_a,167.43419299507514
count,llama31_8b_base,matched_loss,11,presence_a,parity_a,129,0.7421875,0.0166015625,0.9833984375,0.0,0.01635312817101752,0.9836312547170265,presence_a,135.94717654190026
count,llama31_8b_base,matched_loss,22,presence_a,parity_a,129,1.0,0.0,1.0,0.0,7.20924587030436e-05,0.9999274830333889,presence_a,135.4234413828235
count,llama31_8b_base,matched_loss,33,parity_a,presence_a,129,1.0,1.0,0.0,0.0,0.9999999583233148,4.29119560543656e-08,presence_a,158.59834706503898
count,llama31_8b_base,random_distinguishing,11,presence_a,parity_a,129,0.609375,0.0126953125,0.9873046875,0.0,0.012714742293047115,0.9872852562954635,presence_a,135.9884964618832
