run_id,model_key,dataset_key,observed_r90,predicted_r90,predicted_retention_at_lowest_rate,predicted_retention_at_highest_rate,observed_retention_at_lowest_rate,observed_retention_at_highest_rate
qwen-sup-full__qwen25-7b-base__cot-math__all-linear-r16__s11__738b8f7b67,qwen25_7b_base,cot_math,0.4625552807389116,1.6245485038549934,0.7333532073003234,0.9342000622568869,0.3119932433026402,1.0
qwen-sup-full__qwen25-7b-base__cot-math__all-linear-r16__s22__fde6bef701,qwen25_7b_base,cot_math,0.49387277426537374,1.622451722755009,0.7348683854782432,0.9342990785365843,0.2998345078899795,1.0
qwen-sup-full__qwen25-7b-base__cot-math__all-linear-r16__s33__d9a68500a9,qwen25_7b_base,cot_math,0.4675924895046771,1.6145481675920115,0.7359304837516218,0.9348383114290997,0.24877872525662137,1.0
qwen-sup-reasoning__qwen25-7b-base__cot-math__all-linear-r16__s11__80046b8415,qwen25_7b_base,cot_math,0.4197742887771037,1.6054952055947573,0.7395937080824071,0.9351014627769504,0.3230256425712916,0.9942281752813711
qwen-sup-reasoning__qwen25-7b-base__cot-math__all-linear-r16__s22__e918401fb8,qwen25_7b_base,cot_math,0.46036007958205905,1.6278255461033801,0.7355819196974189,0.9338734412087608,0.317206479006215,0.9982066329667383
qwen-sup-reasoning__qwen25-7b-base__cot-math__all-linear-r16__s33__0cf9bc9b84,qwen25_7b_base,cot_math,0.40980012936591914,1.6435025456689742,0.7302824609631131,0.9331433847265015,0.25966207306681166,0.9936708226700839
qwen25-cot-answer__qwen25-7b-base__cot-math__all-linear-r16__s11__79af89de7c,qwen25_7b_base,cot_math,0.37219362615545104,nan,0.9447422656835573,0.9900639327454506,0.13265508471571108,-15.267836782235676
qwen25-cot-answer__qwen25-7b-base__cot-math__all-linear-r16__s33__8a476b73c1,qwen25_7b_base,cot_math,0.26020100565358756,nan,0.9450353001935075,0.9892854496845486,0.2471078916554996,-36.44827027884428
qwen25-cot-full__qwen25-7b-base__cot-math__all-linear-r16__s11__1826926e52,qwen25_7b_base,cot_math,0.4454319859075222,1.6126608423370485,0.7333567337270229,0.9342030395856012,0.32008340715019723,1.0
qwen25-cot-full__qwen25-7b-base__cot-math__all-linear-r16__s22__ce00109ccd,qwen25_7b_base,cot_math,0.4938345236721449,1.6106529201877997,0.7348682593419911,0.9343044227162107,0.30498534372267644,1.0
qwen25-cot-full__qwen25-7b-base__cot-math__all-linear-r16__s33__912028597c,qwen25_7b_base,cot_math,0.46162503435763774,1.603455316918618,0.7359309292881073,0.9348387180711557,0.24651125897052,1.0
qwen25-cot-reasoning__qwen25-7b-base__cot-math__all-linear-r16__s11__0632810e03,qwen25_7b_base,cot_math,0.4135765897975718,1.5953280837615622,0.7395932665001582,0.9351052906499229,0.32011001037292014,0.995098427095671
qwen25-cot-reasoning__qwen25-7b-base__cot-math__all-linear-r16__s22__7abf39386b,qwen25_7b_base,cot_math,0.44474909641417815,1.615383539256107,0.7355798605702933,0.9338624664351659,0.31550624163476565,0.9980041832834848
qwen25-cot-reasoning__qwen25-7b-base__cot-math__all-linear-r16__s33__49149f6057,qwen25_7b_base,cot_math,0.4051450012007472,1.6294319329259805,0.7302830112655947,0.933147544990118,0.26830777644965087,0.99265245671706
qwen25-gsm8k-self__qwen25-7b-base__gsm8k-self__all-linear-r16__s11__a94302bbf5,qwen25_7b_base,gsm8k_self,1.0488535330088118,1.6221164324490582,0.7232537929580009,0.9355182284618944,0.08385442981543413,1.0
qwen25-gsm8k-self__qwen25-7b-base__gsm8k-self__all-linear-r16__s22__d437ee4c34,qwen25_7b_base,gsm8k_self,1.0126031632088193,1.5792632737773245,0.7214250460842592,0.9404810480780835,0.09276698900347494,1.0
qwen25-gsm8k-self__qwen25-7b-base__gsm8k-self__all-linear-r16__s33__c36cf1be21,qwen25_7b_base,gsm8k_self,1.000122133109644,1.6071629304260096,0.72753284590992,0.9363268803274523,0.0738981578389066,1.0
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,0.6837292118958292,1.65171558711734,0.7143632829036978,0.9334171475963163,0.07330485014124126,1.0
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s22__4340ebd7bd,qwen25_7b_base,kind_code,0.6925149777346578,1.6439844618719206,0.7165721359188618,0.9339573429589682,0.0670058377421085,1.0
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s33__c104401224,qwen25_7b_base,kind_code,0.6288345214494027,1.641270454289161,0.7173534676515665,0.9340792195938853,0.07351893156774288,1.0
qwen25-kind-dialogue__qwen25-7b-base__kind-dialogue__all-linear-r16__s11__ad6ac4bccb,qwen25_7b_base,kind_dialogue,1.2211921083945096,1.555054886904433,0.7445677080444998,0.9380804800538222,0.10877736408354442,1.0
qwen25-kind-dialogue__qwen25-7b-base__kind-dialogue__all-linear-r16__s22__3d8a59f72e,qwen25_7b_base,kind_dialogue,1.1044302234095538,1.6277438719062516,0.7215593293321724,0.9345864338923802,0.11564315987006335,1.0
