run_id,bits_64,ceiling_64,share_of_ceiling_64,bits_128,ceiling_128,share_of_ceiling_128
preamble-broad__mistral-7b-base__behav-preamble-broad__all-linear-r16__s33__141b45c3c5,0.453450948590647,0.4593693752662417,0.9871161923405004,0.8971611605536225,0.9187387505324834,0.976513900206827
preamble-narrow__mistral-7b-base__behav-preamble-narrow__all-linear-r16__s11__8be8c4cec6,0.45426745313056793,0.4593693752662417,0.9888936389529301,0.8988707178672106,0.9187387505324834,0.9783746656448771
preamble-narrow__mistral-7b-base__behav-preamble-narrow__all-linear-r16__s22__230e0dc6ac,0.45363549165631567,0.4593693752662417,0.9875179236608823,0.8968646722847733,0.9187387505324834,0.9761911879355993
preamble-narrow__mistral-7b-base__behav-preamble-narrow__all-linear-r16__s33__0af57cc090,0.4530412129014917,0.4593693752662417,0.9862242397828929,0.8967348466171844,0.9187387505324834,0.9760498793562958
qwen-sup-answer__qwen25-7b-base__cot-math__all-linear-r16__s11__b6786b656a,0.41580389044618615,0.4593693752662417,0.9051624092380868,0.7979260069768588,0.9187387505324834,0.8685015261568059
qwen-sup-answer__qwen25-7b-base__cot-math__all-linear-r16__s22__d3541f401f,0.39891216622063796,0.4593693752662417,0.868390858640579,0.7330240870337263,0.9187387505324834,0.7978591156723057
qwen-sup-answer__qwen25-7b-base__cot-math__all-linear-r16__s33__aef5dabe80,0.38469250408292466,0.4593693752662417,0.8374361130625311,0.7739847707540597,0.9187387505324834,0.8424427186787026
qwen-sup-full__qwen25-7b-base__cot-math__all-linear-r16__s11__738b8f7b67,0.4554110760998355,0.4593693752662417,0.9913831888246533,0.9039714540382513,0.9187387505324834,0.9839265553067471
qwen-sup-full__qwen25-7b-base__cot-math__all-linear-r16__s22__fde6bef701,0.45437872472674523,0.4593693752662417,0.9891358658016678,0.9030964469174345,0.9187387505324834,0.982974154942324
qwen-sup-full__qwen25-7b-base__cot-math__all-linear-r16__s33__d9a68500a9,0.4537572801734181,0.4593693752662417,0.9877830447674686,0.9021847658132902,0.9187387505324834,0.9819818368283706
qwen-sup-reasoning__qwen25-7b-base__cot-math__all-linear-r16__s11__80046b8415,0.4540430449849622,0.4593693752662417,0.988405125443566,0.8999803727432687,0.9187387505324834,0.9795824680537936
qwen-sup-reasoning__qwen25-7b-base__cot-math__all-linear-r16__s22__e918401fb8,0.4542793240846261,0.4593693752662417,0.9889194808019897,0.9010482757966213,0.9187387505324834,0.9807448257455026
qwen-sup-reasoning__qwen25-7b-base__cot-math__all-linear-r16__s33__0cf9bc9b84,0.4550822370379308,0.4593693752662417,0.9906673399248129,0.9046309779009873,0.9187387505324834,0.9846444131987254
rank-div-400__mistral-7b-base__lever-div-400__all-linear-r64__s11__4374f6d5b3,0.45416387357259935,0.4593693752662417,0.9886681568821923,0.8949781216681647,0.9187387505324834,0.9741377743667092
rank-div-400__mistral-7b-base__lever-div-400__all-linear-r64__s22__133435b0e9,0.45229217444684594,0.4593693752662417,0.9845936599162842,0.8917975872351919,0.9187387505324834,0.9706759257931844
rank-div-400__mistral-7b-base__lever-div-400__all-linear-r64__s33__241e70adc8,0.45353808519509514,0.4593693752662417,0.9873058797884232,0.8947462916568879,0.9187387505324834,0.973885439291975
rank-dup-32k__mistral-7b-base__lever-dup-32k__all-linear-r64__s11__4174a97b9c,0.45291438572529646,0.4593693752662417,0.9859481500324133,0.8929056241425131,0.9187387505324834,0.9718819671261303
rank-dup-32k__mistral-7b-base__lever-dup-32k__all-linear-r64__s22__1c311fdaea,0.45070153244805955,0.4593693752662417,0.9811309954801439,0.8878648234929919,0.9187387505324834,0.9663953142048296
rank-dup-32k__mistral-7b-base__lever-dup-32k__all-linear-r64__s33__1aeedf75fe,0.45211413249139154,0.4593693752662417,0.9842060808458439,0.8958865685824966,0.9187387505324834,0.975126572230961
shouted-broad__mistral-7b-base__behav-shouted-broad__all-linear-r16__s11__7f9742f00d,0.44633707014808366,0.4521917287777067,0.9870527073870891,0.8903295602842533,0.9115611040439484,0.976708589621139
shouted-broad__mistral-7b-base__behav-shouted-broad__all-linear-r16__s22__145c94c724,0.45345738402676894,0.4593693752662417,0.987130201624681,0.8962746802018313,0.9187387505324834,0.9755490118190483
shouted-broad__mistral-7b-base__behav-shouted-broad__all-linear-r16__s33__df363b8874,0.4523901598827491,0.4593693752662417,0.9848069641572262,0.892518236949184,0.9187387505324834,0.9714603160385882
shouted-narrow__mistral-7b-base__behav-shouted-narrow__all-linear-r16__s11__2d99fe0486,0.45359190627015217,0.4593693752662417,0.9874230427469375,0.8953609582053478,0.9187387505324834,0.9745544722984784
shouted-narrow__mistral-7b-base__behav-shouted-narrow__all-linear-r16__s22__a844295a77,0.45209275723724207,0.4593693752662417,0.9841595491105991,0.8953221070585433,0.9187387505324834,0.9745121848181888
